Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,114.959999,115.919998,114.050003,114.610001,107.747925,3638200
2019-11-21,114.699997,115.519997,113.290001,114.750000,107.879539,2909500
2019-11-22,115.089996,116.680000,114.709999,116.199997,109.242706,3120100
2019-11-25,116.599998,118.459999,116.599998,117.470001,110.436691,2939300
2019-11-26,117.470001,118.110001,117.000000,117.089996,110.079437,4704900
2019-11-27,117.730003,117.900002,116.620003,117.440002,110.408485,1798200
2019-11-29,117.230003,118.040001,117.169998,117.349998,110.323860,1243900
2019-12-02,117.519997,118.250000,116.099998,116.739998,109.750389,2199700
2019-12-03,116.400002,117.919998,115.919998,117.610001,110.568298,2786000
2019-12-04,118.279999,118.839996,117.570000,118.669998,111.564827,2597000
2019-12-05,118.400002,119.919998,117.540001,119.769997,112.598976,3003200
2019-12-06,119.970001,120.709999,119.580002,119.639999,112.476768,2462800
2019-12-09,119.529999,120.839996,118.940002,120.239998,113.040817,2335100
2019-12-10,120.559998,121.150002,120.110001,120.650002,113.426292,3592600
2019-12-11,120.559998,121.199997,119.980003,120.779999,113.548500,3438100
2019-12-12,120.559998,121.930000,120.559998,121.699997,114.413422,2959400
2019-12-13,121.980003,122.190002,120.720001,121.529999,114.253593,3343900
2019-12-16,123.070000,124.260002,122.059998,122.849998,115.494545,3468400
2019-12-17,124.000000,127.029999,123.309998,125.330002,117.826080,6718800
2019-12-18,127.879997,129.979996,127.690002,129.479996,121.727600,8173000
2019-12-19,129.080002,130.990005,128.339996,130.850006,123.015572,4423400
2019-12-20,132.490005,137.000000,131.240005,132.429993,124.500954,9229900
2019-12-23,132.389999,132.580002,131.029999,131.149994,123.297630,2473400
2019-12-24,131.070007,131.210007,130.130005,131.110001,123.260040,1215800
2019-12-26,131.000000,131.699997,130.660004,131.139999,123.288208,1272000
2019-12-27,131.570007,131.770004,130.839996,131.520004,123.645462,2161300
2019-12-30,131.520004,131.929993,130.869995,131.300003,123.438644,1856200
2019-12-31,131.179993,131.520004,130.500000,131.429993,123.560860,1549800
2020-01-02,131.770004,132.259995,130.729996,132.210007,124.294159,2204200
2020-01-03,130.300003,132.470001,130.229996,131.770004,123.880486,1963500
2020-01-06,131.419998,132.559998,130.940002,132.259995,124.341148,2102900
2020-01-07,131.699997,132.929993,131.699997,132.509995,124.576172,2448300
2020-01-08,132.460007,134.210007,132.009995,133.710007,125.704361,5188600
2020-01-09,134.550003,136.360001,134.009995,135.919998,127.781998,4522800
2020-01-10,135.779999,138.270004,135.529999,138.000000,129.737518,4177600
2020-01-13,138.199997,139.990005,137.889999,138.940002,130.621216,5117100
2020-01-14,138.990005,140.899994,138.119995,140.649994,132.228821,4685200
2020-01-15,140.580002,141.690002,140.009995,141.110001,132.661285,3676500
2020-01-16,141.830002,141.970001,139.850006,141.429993,132.962128,3794800
2020-01-17,140.880005,141.740005,139.360001,139.580002,131.222870,5393200
2020-01-21,139.500000,141.570007,138.429993,140.910004,132.473236,4849500
2020-01-22,141.250000,142.250000,140.690002,141.559998,133.084351,2742100
